dataset,method,classifier,n_wavelengths,accuracy,f1_macro,f1_weighted,kappa,train_time,p_value,pls_component
salinas,ALL_BANDS,SVM-RBF,204,0.9349927325581396,0.9697518752827874,0.9353253264193804,0.927738997803208,7.021040439605713,,2
salinas,ALL_BANDS,SVM-RBF,204,0.9349563953488372,0.9697368083329428,0.9352880568853,0.9276983791866112,4.791834115982056,,4
salinas,ALL_BANDS,SVM-RBF,204,0.9349563953488372,0.9697368083329428,0.9352880568853,0.9276983791866112,4.875290870666504,,3
salinas,CCARS_50,SVM-RBF,50,0.9262718023255814,0.9633402682360864,0.9261035873812312,0.9180079579860092,3.683245897293091,0.024390243902439,2
salinas,ALL_BANDS,Random Forest,204,0.921220930232558,0.9546165723931888,0.9201005779013371,0.9122607193866724,37.783334255218506,,3
salinas,ALL_BANDS,Random Forest,204,0.921220930232558,0.9546165723931888,0.9201005779013371,0.9122607193866724,38.13231015205383,,4
salinas,ALL_BANDS,Random Forest,204,0.9207848837209304,0.9547578457367388,0.9196340063560622,0.9117722338545048,26.163984775543213,,2
salinas,CCARS_50,SVM-RBF,50,0.918095930232558,0.9609743418126222,0.918019931615959,0.9089235629441498,2.145427942276001,0.024390243902439,3
salinas,CCARS_50,Random Forest,50,0.9155886627906976,0.9524474376276696,0.9144708170671892,0.9060182414930722,13.256208896636965,0.0123456790123456,2
salinas,Original CARS,RF,50,0.9154796511627908,0.9515196591392584,0.9515196591392584,0.9058735055358592,,,3
salinas,Original CARS,RF,50,0.9145348837209304,0.9504719084376252,0.9504719084376252,0.9047916848735952,,,4
salinas,Original CARS,SVM-RBF,50,0.914171511627907,0.9576595939226604,0.9576595939226604,0.904606185211616,,,3
salinas,CCARS_50,SVM-RBF,50,0.913953488372093,0.9570585186113147,0.914113384357938,0.9043811038519696,2.3364920616149902,0.0476190476190476,4
salinas,Original CARS,SVM-RBF,50,0.9133357558139537,0.9527532440767904,0.9527532440767904,0.9037147451095164,,,2
salinas,Original CARS,SVM-RBF,50,0.912936046511628,0.9568127029538288,0.9568127029538288,0.90325257922249,,,4
salinas,Original CARS,RF,30,0.9115915697674418,0.9492939574147204,0.9492939574147204,0.9015092836582236,,,4
salinas,CCARS_50,Random Forest,50,0.910029069767442,0.9480905027631138,0.9090342740110304,0.8998407362413327,18.86861777305603,0.0246913580246913,3
salinas,Original CARS,RF,15,0.9087209302325582,0.9470737802714972,0.9470737802714972,0.8982844116648073,,,4
salinas,Original CARS,RF,50,0.9083938953488372,0.9383346374832192,0.9383346374832192,0.8979480959634267,,,2
salinas,Original CARS,RF,30,0.9081395348837208,0.9398491814072476,0.9398491814072476,0.8976718879838457,,,2
salinas,CCARS_30,SVM-RBF,30,0.9081031976744186,0.949110235439125,0.9076165636365472,0.8978405827362097,4.516305446624756,0.024390243902439,2
salinas,Original CARS,RF,20,0.9071947674418605,0.9458047591059808,0.9458047591059808,0.8965862965840401,,,4
salinas,CCARS_30,Random Forest,30,0.9070857558139536,0.9463499872225783,0.9055164516635792,0.8965312240732151,9.87877106666565,1.0,2
salinas,CCARS_50,Random Forest,50,0.9070130813953488,0.9468140338447064,0.9059766013093526,0.8964731100522405,19.02100372314453,1.0,4
salinas,Original CARS,SVM-RBF,30,0.9065406976744186,0.9525274089637908,0.9525274089637908,0.8961357677404944,,,4
salinas,CCARS_30,SVM-RBF,30,0.9060683139534884,0.9478366946347512,0.905651144275932,0.895587948707709,2.178546667098999,0.024390243902439,3
salinas,Original CARS,RF,30,0.9059229651162792,0.9438935564927592,0.9438935564927592,0.8952196933683709,,,3
salinas,Original CARS,SVM-RBF,30,0.9053415697674418,0.9473875081678048,0.9473875081678048,0.8948663070617732,,,2
salinas,CCARS_30,Random Forest,30,0.9042151162790698,0.9433246747968242,0.9031496559820026,0.8933654909237775,13.628355979919434,1.0,4
salinas,CCARS_30,SVM-RBF,30,0.9039970930232558,0.9483775142774264,0.9040108970238264,0.8933516570731034,2.2137725353240967,0.0476190476190476,4
salinas,Original CARS,RF,20,0.9034156976744186,0.9424549008192302,0.9424549008192302,0.8924301192889544,,,3
salinas,Original CARS,SVM-RBF,30,0.9020712209302324,0.9475027762202632,0.9475027762202632,0.891208006456101,,,3
salinas,Original CARS,SVM-RBF,15,0.9014171511627908,0.9472776794014096,0.9472776794014096,0.8904643150775071,,,4
salinas,CCARS_30,Random Forest,30,0.9004360465116279,0.9396584017072812,0.8989317724298597,0.8891040140603159,13.50248646736145,0.0123456790123456,3
salinas,Original CARS,SVM-RBF,20,0.8980741279069767,0.946196067555171,0.946196067555171,0.8867743229875349,,,4
salinas,Original CARS,RF,20,0.8976017441860465,0.9318424102201904,0.9318424102201904,0.8859560312431937,,,2
salinas,CCARS_20,Random Forest,20,0.8971656976744186,0.9365946422006556,0.8958390770729717,0.8855061469028511,8.080970764160156,1.0,2
salinas,Original CARS,SVM-RBF,20,0.8971293604651163,0.9416031136314332,0.9416031136314332,0.8857175689850085,,,3
salinas,CCARS_20,SVM-RBF,20,0.8970566860465117,0.9395150938166564,0.8962856587478144,0.8855993496743418,3.84533429145813,0.024390243902439,2
indian_pines,ALL_BANDS,SVM-RBF,200,0.8942634419348391,0.8857132578472589,0.8938562285680677,0.8791372661880754,0.3501739501953125,,2
indian_pines,ALL_BANDS,SVM-RBF,200,0.8942634419348391,0.8857132578472589,0.8938562285680677,0.8791372661880754,0.3494608402252197,,4
indian_pines,ALL_BANDS,SVM-RBF,200,0.8942634419348391,0.8857132578472589,0.8938562285680677,0.8791372661880754,0.3432545661926269,,3
salinas,Original CARS,RF,10,0.8934956395348838,0.9330285553965088,0.9330285553965088,0.8813008012474632,,,4
salinas,CCARS_20,Random Forest,20,0.8892441860465117,0.9349713451547652,0.8880815990123673,0.8767011012824875,10.843750953674316,1.0,4
salinas,CCARS_20,Random Forest,20,0.8881540697674418,0.930083273983232,0.8865158886291907,0.8754408735443511,10.785642623901367,1.0,3
salinas,CCARS_20,SVM-RBF,20,0.8879360465116279,0.93339330690018,0.8877118761919877,0.8755600495175866,1.8983235359191888,0.024390243902439,3
salinas,Original CARS,SVM-RBF,20,0.887827034883721,0.934438022169878,0.934438022169878,0.8755183331177933,,,2
salinas,Original CARS,RF,15,0.885719476744186,0.9233896133932452,0.9233896133932452,0.8726259357520714,,,3
salinas,Original CARS,SVM-RBF,10,0.8846656976744186,0.9304298936509764,0.9304298936509764,0.8718751093517666,,,4
salinas,CCARS_10,Random Forest,10,0.882703488372093,0.9269907633687208,0.8822779258790415,0.8695473003397812,6.349966764450073,1.0,2
salinas,Original CARS,RF,15,0.8808502906976744,0.9136396032857867,0.9136396032857867,0.8671941779844218,,,2
salinas,CCARS_20,SVM-RBF,20,0.8805595930232558,0.9351567815988788,0.880791171871372,0.8675148909364174,2.015630006790161,0.0476190476190476,4
salinas,Original CARS,SVM-RBF,15,0.8798328488372092,0.9243034437912367,0.9243034437912367,0.8666028524028458,,,3
salinas,Original CARS,RF,10,0.8789970930232558,0.9148622610044354,0.9148622610044354,0.8651285322147482,,,3
salinas,Original CARS,RF,10,0.8748546511627907,0.9092785955325636,0.9092785955325636,0.8605424056085722,,,2
salinas,Original CARS,SVM-RBF,10,0.8733648255813954,0.9170055089720714,0.9170055089720714,0.8594397286919675,,,3
salinas,CCARS_10,SVM-RBF,10,0.8693677325581395,0.920699979837196,0.8696928150507266,0.8552647335407731,3.603316068649292,0.4878048780487805,2
salinas,Original CARS,SVM-RBF,15,0.8629723837209302,0.9125690087042556,0.9125690087042556,0.8481873473674797,,,2
salinas,Original CARS,RF,5,0.8586119186046511,0.8894349272655787,0.8894349272655787,0.8423353809608709,,,2
indian_pines,ALL_BANDS,Random Forest,200,0.8578852688386968,0.8475488413383893,0.8550213715895887,0.836435230635175,6.310616970062256,,3
indian_pines,ALL_BANDS,Random Forest,200,0.8578852688386968,0.8475488413383893,0.8550213715895887,0.836435230635175,6.321211099624634,,4
indian_pines,ALL_BANDS,Random Forest,200,0.8578852688386968,0.8475488413383893,0.8550213715895887,0.836435230635175,6.908313751220703,,2
salinas,Original CARS,SVM-RBF,10,0.8554869186046512,0.9044338569645494,0.9044338569645494,0.8398879711551688,,,2
salinas,CCARS_10,Random Forest,10,0.837390988372093,0.8784786397251139,0.836500264716078,0.8190529306322648,9.139262437820436,1.0,3
salinas,Original CARS,SVM-RBF,5,0.8317223837209302,0.8766941355104862,0.8766941355104862,0.8137321229556891,,,2
salinas,Original CARS,RF,5,0.8301235465116279,0.8583798706399622,0.8583798706399622,0.8106188767292087,,,3
salinas,Original CARS,RF,5,0.8301235465116279,0.8824810219917889,0.8824810219917889,0.8104829491219429,,,4
salinas,CCARS_10,SVM-RBF,10,0.8135537790697674,0.8689516938189041,0.8152844047012255,0.794282650232315,2.286749124526977,0.4878048780487805,3
salinas,Original CARS,SVM-RBF,5,0.8021075581395349,0.8654200889837252,0.8654200889837252,0.7818547558280904,,,4
salinas,CCARS_10,Random Forest,10,0.7929142441860465,0.8144756283884431,0.7878930923096946,0.7690861687300764,9.674231052398682,1.0,4
salinas,Original CARS,SVM-RBF,5,0.7900436046511627,0.8164224393061548,0.8164224393061548,0.7676818790591362,,,3
salinas,CCARS_10,SVM-RBF,10,0.7797238372093023,0.821151951396005,0.779067316959493,0.7566271136962246,2.6404292583465576,0.0952380952380952,4
indian_pines,Original CARS,SVM-RBF,50,0.776134319408355,0.7562758335493001,0.7562758335493001,0.7459085539062564,,,3
indian_pines,Original CARS,RF,50,0.771537077753348,0.668445146083756,0.668445146083756,0.7357792389072338,,,4
indian_pines,Original CARS,SVM-RBF,50,0.7707375574655206,0.7421656619478668,0.7421656619478668,0.7400273398821958,,,4
indian_pines,Original CARS,SVM-RBF,50,0.7651409154507296,0.7817866470223911,0.7817866470223911,0.733962115660389,,,2
indian_pines,Original CARS,RF,50,0.7587447531481112,0.6930285036099394,0.6930285036099394,0.7211245974260111,,,3
indian_pines,Original CARS,RF,30,0.7583449930041974,0.6496596860409038,0.6496596860409038,0.7207091147576772,,,4
indian_pines,CCARS_50,SVM-RBF,50,0.756546072356586,0.7646843564074524,0.7571241064104862,0.7237068619986586,0.2348599433898925,0.024390243902439,4
indian_pines,CCARS_50,Random Forest,50,0.7557465520687587,0.717509954271685,0.7458678525968281,0.7162108749161966,3.2588164806365967,1.0,4
