dataset,method,K,classifier,pls_comp,OA,macroF1,kappa
salinas,ALL_BANDS,204,SVM-RBF,,0.9378633720930233,0.9708418932034186,0.9309141222337924
salinas,RFE,50,SVM-RBF,,0.9269985465116279,0.966067456202643,0.9187929032788504
salinas,ALL_BANDS,204,RF,,0.9241642441860465,0.9566883318897934,0.9155476750967921
salinas,Fisher,50,SVM-RBF,,0.9215843023255814,0.9595381755703507,0.9128442074931622
salinas,RFE,30,RF,,0.9211845930232558,0.9562420148175959,0.9122371787609229
salinas,RFE,30,SVM-RBF,,0.9210755813953488,0.9624425123973783,0.9122055513989538
salinas,RFE,50,RF,,0.9200218023255814,0.9544965685934006,0.91093084736886
salinas,RFE,20,RF,,0.9179869186046512,0.9543202958440329,0.9086747712080827
salinas,Fisher,30,SVM-RBF,,0.9166424418604651,0.9561628143962304,0.90736544225679
salinas,RFE,20,SVM-RBF,,0.9165697674418605,0.9594752916085543,0.90724608107664
salinas,RFE,15,RF,,0.9162063953488372,0.9525887227502362,0.9067066249086461
salinas,BOSS,50,SVM-RBF,,0.9159156976744186,0.9584840212070511,0.9065531040676162
salinas,BOSS,50,RF,,0.9158430232558139,0.9523829141352926,0.9062808446313245
salinas,CARS_PLS3,50,RF,3.0,0.9154796511627907,0.9515196591392583,0.9058735055358593
salinas,CARS_PLS4,50,RF,4.0,0.9145348837209303,0.9504719084376252,0.9047916848735952
salinas,CARS_PLS3,50,SVM-RBF,3.0,0.914171511627907,0.9576595939226603,0.904606185211616
salinas,CARS_PLS2,50,SVM-RBF,2.0,0.9133357558139535,0.9527532440767903,0.9037147451095164
salinas,Fisher,30,RF,,0.9133357558139535,0.9508364438946589,0.903480045863566
salinas,MRMR,50,SVM-RBF,,0.9129723837209303,0.957804731426243,0.9032447675132599
salinas,CARS_PLS4,50,SVM-RBF,4.0,0.9129360465116279,0.9568127029538287,0.90325257922249
salinas,RFE,15,SVM-RBF,,0.9123183139534884,0.956750282085586,0.9025444676851162
salinas,Fisher,50,RF,,0.9119186046511628,0.9488043507263271,0.9019042421830781
salinas,CARS_PLS4,30,RF,4.0,0.9115915697674418,0.9492939574147203,0.9015092836582235
salinas,Fisher,20,RF,,0.9114462209302325,0.950210320209137,0.9013595259345133
salinas,MRMR,50,RF,,0.9097020348837209,0.9479728169598497,0.8994499657055797
salinas,Fisher,10,RF,,0.909265988372093,0.947693214607783,0.8989367119496187
salinas,Fisher,15,RF,,0.9089752906976745,0.9492226772539571,0.8985791664698572
salinas,CARS_PLS4,15,RF,4.0,0.9087209302325582,0.9470737802714971,0.8982844116648073
salinas,CARS_PLS2,50,RF,2.0,0.9083938953488372,0.9383346374832192,0.8979480959634267
salinas,CARS_PLS2,30,RF,2.0,0.9081395348837209,0.9398491814072476,0.8976718879838457
salinas,Fisher,20,SVM-RBF,,0.9081395348837209,0.9529495011003866,0.8979381499575313
salinas,CARS_PLS4,20,RF,4.0,0.9071947674418605,0.9458047591059808,0.8965862965840401
salinas,RFE,10,SVM-RBF,,0.9071947674418605,0.9478812883305324,0.8967900267907887
salinas,CARS_PLS4,30,SVM-RBF,4.0,0.9065406976744186,0.9525274089637907,0.8961357677404944
salinas,RFE,10,RF,,0.9062136627906977,0.9437792025361867,0.8955931125078893
salinas,CARS_PLS3,30,RF,3.0,0.9059229651162791,0.9438935564927592,0.8952196933683709
salinas,CARS_PLS2,30,SVM-RBF,2.0,0.9053415697674418,0.9473875081678047,0.8948663070617732
salinas,BOSS,30,RF,,0.904796511627907,0.9430393785275616,0.8939245870081337
salinas,Fisher,15,SVM-RBF,,0.9045421511627907,0.9510432181712853,0.8939358019401966
salinas,CARS_PLS3,20,RF,3.0,0.9034156976744186,0.9424549008192302,0.8924301192889544
salinas,Fisher,10,SVM-RBF,,0.9023619186046512,0.9492191474877402,0.8915274517456163
salinas,CARS_PLS3,30,SVM-RBF,3.0,0.9020712209302325,0.9475027762202631,0.891208006456101
salinas,BOSS,20,RF,,0.9018531976744186,0.9400048769553032,0.8906515906543548
salinas,CARS_PLS4,15,SVM-RBF,4.0,0.9014171511627908,0.9472776794014095,0.8904643150775071
salinas,RFE,5,SVM-RBF,,0.9003997093023256,0.9416392695441796,0.8892478471643219
salinas,RFE,5,RF,,0.8999273255813953,0.9384913672544491,0.8885902930269766
salinas,BOSS,30,SVM-RBF,,0.8990188953488372,0.9453937616153985,0.8878336325914649
salinas,CARS_PLS4,20,SVM-RBF,4.0,0.8980741279069767,0.946196067555171,0.8867743229875349
salinas,CARS_PLS2,20,RF,2.0,0.8976017441860465,0.9318424102201903,0.8859560312431937
salinas,CARS_PLS3,20,SVM-RBF,3.0,0.8971293604651163,0.9416031136314331,0.8857175689850085
salinas,Fisher,5,RF,,0.8964752906976744,0.9394927452208428,0.8847718355002483
salinas,BOSS,20,SVM-RBF,,0.8952034883720931,0.9420414309774355,0.8835833023875935
salinas,BOSS,15,RF,,0.8940770348837209,0.9330853747533622,0.8820569818234508
salinas,CARS_PLS4,10,RF,4.0,0.8934956395348838,0.9330285553965088,0.8813008012474632
salinas,MRMR,30,RF,,0.893422965116279,0.9364940172365988,0.8812846084165877
salinas,MRMR,30,SVM-RBF,,0.8924418604651163,0.9446201717330869,0.8805965348407657
salinas,BOSS,15,SVM-RBF,,0.8902979651162791,0.9350269308222025,0.8781816597893424
salinas,MRMR,20,RF,,0.8891351744186047,0.9329236898947066,0.87651360002792
salinas,CARS_PLS2,20,SVM-RBF,2.0,0.887827034883721,0.934438022169878,0.8755183331177933
salinas,CARS_PLS3,15,RF,3.0,0.885719476744186,0.9233896133932453,0.8726259357520714
salinas,MRMR,15,RF,,0.8855377906976745,0.9305769291330146,0.8724937675791102
salinas,CARS_PLS4,10,SVM-RBF,4.0,0.8846656976744186,0.9304298936509765,0.8718751093517666
salinas,MRMR,10,RF,,0.8820857558139535,0.9286429139761144,0.8686490248681838
salinas,MRMR,20,SVM-RBF,,0.8817587209302326,0.9363022670771207,0.868839886020132
salinas,CARS_PLS2,15,RF,2.0,0.8808502906976744,0.9136396032857867,0.8671941779844218
salinas,CARS_PLS3,15,SVM-RBF,3.0,0.8798328488372092,0.9243034437912369,0.8666028524028458
