dataset,method,classifier,n_wavelengths,accuracy,f1_macro,f1_weighted,kappa,train_time,p_value
indian_pines,ALL_BANDS,SVM-RBF,200,0.8942634419348391,0.8857132578472589,0.8938562285680677,0.8791372661880754,0.3501739501953125,
indian_pines,ALL_BANDS,Random Forest,200,0.8578852688386968,0.8475488413383893,0.8550213715895887,0.836435230635175,6.908313751220703,
indian_pines,CCARS_50,Random Forest,50,0.7541475114931041,0.7346188757965337,0.7449137753562007,0.7144958068576792,3.471351146697998,1.0
indian_pines,CCARS_50,SVM-RBF,50,0.75314811113332,0.7558283912984012,0.7537414590018185,0.7197552288170149,0.22245335578918457,0.07317073170731707
indian_pines,CCARS_30,Random Forest,30,0.7171696981810913,0.6455258768698235,0.7035807648158479,0.6704167586928937,2.990760087966919,1.0
indian_pines,CCARS_30,SVM-RBF,30,0.7165700579652209,0.717080002586545,0.7178403772324436,0.6787521684810738,0.266340970993042,0.04878048780487805
indian_pines,CCARS_20,Random Forest,20,0.680791525084949,0.5828114224428621,0.6654767227164421,0.6268169794402071,2.8013460636138916,1.0
indian_pines,CCARS_20,SVM-RBF,20,0.6616030381770938,0.6437184014747087,0.6640428284090909,0.6195357624962246,0.30264782905578613,0.14634146341463414
indian_pines,CCARS_10,Random Forest,10,0.5744553268039176,0.4530659637422114,0.5476479834122872,0.5003916841291823,2.6666178703308105,1.0
indian_pines,CCARS_10,SVM-RBF,10,0.5162902258644813,0.4756740757208478,0.5139244112140328,0.4648167325099901,0.34569263458251953,0.04878048780487805
indian_pines,CCARS_30,PLS-DA,30,0.44393363981611034,0.1616905455443526,0.2924635923277116,0.3124722572805343,0.006970643997192383,1.0
indian_pines,CCARS_20,PLS-DA,20,0.4435338796721967,0.16117924627360342,0.29233235564023075,0.3123662337303288,0.0057222843170166016,1.0
indian_pines,CCARS_50,PLS-DA,50,0.4389366380171897,0.1557745731938216,0.2867911231701751,0.3060894691326048,0.007875442504882812,1.0
indian_pines,CCARS_10,PLS-DA,10,0.42254647211672997,0.14364797244847097,0.27069567887808915,0.2887392137232895,0.004498720169067383,1.0
indian_pines,ALL_BANDS,PLS-DA,200,0.4119528283030182,0.12033898246360741,0.24715712157679828,0.27147674236620456,0.029816865921020508,
