wavelength_nm,index
1721.23096,138
1731.19238,139
1711.26929,137
1452.18188,111
1701.30737,136
1691.34534,135
1292.66248,100
2046.71863,159
2096.79565,164
2076.77173,162
2056.73877,160
2086.78491,163
2066.75635,161
1282.69055,99
2036.69617,158
1986.55005,153
1741.15344,140
2026.67163,157
1302.63428,101
1272.71826,98
1119.65601,80
2146.81494,169
1681.38293,134
2126.81421,167
2116.8103,166
1671.42029,133
2136.81567,168
1224.4967,91
2106.8042,165
1936.34607,148
2016.64465,156
1422.27673,108
1442.21375,110
1996.58386,154
1100.52625,78
2166.80664,171
1946.39148,149
1262.74573,97
2156.81201,170
